unix,date,symbol,Open,High,Low,Close,Volume USD,Volume ETH

1637939880,2021-11-26 15:18:00,ETH/USD,4058.9,4058.9,4057.65,4057.65,0.56715199,2301.3042722235
1637939820,2021-11-26 15:17:00,ETH/USD,4055.5,4062.52,4055.5,4058.92,6.61160358,26835.9700029336
1637939760,2021-11-26 15:16:00,ETH/USD,4067.48,4067.48,4056.16,4056.16,50.04075128,202973.293711885
1637939700,2021-11-26 15:15:00,ETH/USD,4076.32,4076.32,4068.65,4068.65,101.62163709,413462.873746228
1637939640,2021-11-26 15:14:00,ETH/USD,4076.02,4080.81,4076.02,4076.68,68.94287828,281058.05302651
1637939580,2021-11-26 15:13:00,ETH/USD,4076.72,4077.4,4075.54,4075.54,1.62712245,6631.402629873
1637939520,2021-11-26 15:12:00,ETH/USD,4073.3,4078.82,4073.3,4074.94,15.09995359,61531.4048820346
1637939460,2021-11-26 15:11:00,ETH/USD,4071.72,4073.65,4069.44,4070.49,13.73789784,55919.9757787416
1637939400,2021-11-26 15:10:00,ETH/USD,4083.05,4084.37,4071.51,4075.48,204.091974,831772.75819752
1637939340,2021-11-26 15:09:00,ETH/USD,4088.71,4090.3,4086.99,4086.99,13.01771927,53203.2884792973
1637939280,2021-11-26 15:08:00,ETH/USD,4087.02,4087.56,4087.02,4087.56,43.65,178421.994
1637939220,2021-11-26 15:07:00,ETH/USD,4091.08,4091.08,4082.78,4082.78,15.58970923,63649.3530500594
1637939160,2021-11-26 15:06:00,ETH/USD,4088.25,4094.62,4088.02,4094.62,18.54860162,75949.4751652844
1637939100,2021-11-26 15:05:00,ETH/USD,4087.17,4088.59,4081.16,4081.16,172.53512202,704143.438583143
1637939040,2021-11-26 15:04:00,ETH/USD,4086.22,4088.45,4086.22,4087.17,1.4993907,6128.264687319
1637938980,2021-11-26 15:03:00,ETH/USD,4089.54,4091.32,4086.97,4086.97,34.80847619,142261.197934244
1637938920,2021-11-26 15:02:00,ETH/USD,4092.11,4093,4091.61,4092.15,24.27780557,99348.4220632755
1637938860,2021-11-26 15:01:00,ETH/USD,4094.69,4094.69,4089.44,4089.74,15.86449249,64881.6495160526
1637938800,2021-11-26 15:00:00,ETH/USD,4105.31,4105.31,4093.05,4093.05,239.58380354,980628.487079397
1637938740,2021-11-26 14:59:00,ETH/USD,4110.7,4110.7,4106.91,4108.24,11.92360248,48985.0206524352
1637938680,2021-11-26 14:58:00,ETH/USD,4109.15,4110.09,4104.01,4108.93,13.10809105,53860.2285580765
1637938620,2021-11-26 14:57:00,ETH/USD,4104.01,4106.84,4103.51,4105.7,113.76737372,467094.706282204
1637938560,2021-11-26 14:56:00,ETH/USD,4100,4103.71,4097.93,4097.93,2.84927031,11676.1102814583
1637938500,2021-11-26 14:55:00,ETH/USD,4098.12,4099.13,4095.93,4099.13,1.9629961,8046.576203393
1637938440,2021-11-26 14:54:00,ETH/USD,4095.46,4101.32,4095.02,4101.32,2.98683849,12249.9804358068
1637938380,2021-11-26 14:53:00,ETH/USD,4094.08,4095.06,4092.03,4092.03,0.79932166,3270.8482123698
1637938320,2021-11-26 14:52:00,ETH/USD,4100.74,4100.79,4093.88,4094.37,58.23126221,238420.333054758
1637938260,2021-11-26 14:51:00,ETH/USD,4099.71,4099.72,4092.01,4092.01,38.87834126,159090.561219333
1637938200,2021-11-26 14:50:00,ETH/USD,4093.14,4098.66,4093.14,4098.66,4.11011,16845.9434526
1637938140,2021-11-26 14:49:00,ETH/USD,4087.98,4095.01,4087.98,4095.01,51.89287304,212501.83402753
1637938080,2021-11-26 14:48:00,ETH/USD,4088.08,4088.27,4083.29,4083.29,9.60694174,39227.9291375246
1637938020,2021-11-26 14:47:00,ETH/USD,4093.41,4095.02,4080.6,4084.12,8.55444474,34937.3788515288
1637937960,2021-11-26 14:46:00,ETH/USD,4094.59,4097.39,4089.55,4093.41,74.85776967,306423.542944875
1637937900,2021-11-26 14:45:00,ETH/USD,4098.19,4100.83,4090,4090.88,48.78304085,199565.566152448
1637937840,2021-11-26 14:44:00,ETH/USD,4102.82,4103.07,4099.48,4099.48,13.28939737,54479.6187303676
1637937780,2021-11-26 14:43:00,ETH/USD,4103.9,4103.9,4098.19,4098.19,24.13460226,98908.1856359094
1637937720,2021-11-26 14:42:00,ETH/USD,4107.16,4107.16,4098.86,4101.82,32.32466869,132589.972526016
1637937660,2021-11-26 14:41:00,ETH/USD,4119.32,4119.32,4105.64,4109.23,36.11363562,148399.234898773
1637937600,2021-11-26 14:40:00,ETH/USD,4129.44,4129.98,4119.32,4119.32,19.39615321,79898.9618410172
1637937540,2021-11-26 14:39:00,ETH/USD,4127.35,4127.79,4125.06,4125.06,6.0613668,25003.501732008
1637937480,2021-11-26 14:38:00,ETH/USD,4123.99,4129.99,4123.99,4124.65,60.62046017,250038.18104019
1637937420,2021-11-26 14:37:00,ETH/USD,4125,4126.77,4124,4124.5,20.40780239,84171.980957555
1637937360,2021-11-26 14:36:00,ETH/USD,4123.4,4126.93,4122.15,4123.25,8.19198974,33777.621695455
1637937300,2021-11-26 14:35:00,ETH/USD,4122.36,4123.19,4119.33,4120.66,3.48,14339.8968
1637937240,2021-11-26 14:34:00,ETH/USD,4120.41,4123.35,4120.41,4123.35,23.544,97080.1524
1637937180,2021-11-26 14:33:00,ETH/USD,4118.53,4121.4,4117.02,4119.24,14.1760388,58394.506066512
1637937120,2021-11-26 14:32:00,ETH/USD,4109.52,4120.95,4109.52,4114.51,10.50084181,43205.8186356631
1637937060,2021-11-26 14:31:00,ETH/USD,4110.75,4110.75,4104.8,4108.01,4.13089669,16969.7649114869
1637937000,2021-11-26 14:30:00,ETH/USD,4111.95,4111.95,4101.69,4108.5,21.46191172,88176.26430162
1637936940,2021-11-26 14:29:00,ETH/USD,4108.64,4113.54,4108.64,4113.47,18.07685784,74358.6124191048
1637936880,2021-11-26 14:28:00,ETH/USD,4107.7,4109.39,4104.12,4109.39,9.47793708,38948.5398571812
1637936820,2021-11-26 14:27:00,ETH/USD,4103.25,4106.84,4102.34,4102.69,48.93720495,200774.181376315
1637936760,2021-11-26 14:26:00,ETH/USD,4101.8,4106.58,4100.03,4104.61,23.61749785,96940.6178500885
1637936700,2021-11-26 14:25:00,ETH/USD,4108.96,4108.96,4098.69,4101.49,48.9666,200836.020234
1637936640,2021-11-26 14:24:00,ETH/USD,4117.46,4117.59,4108.34,4111.37,83.99826473,345347.94566298
1637936580,2021-11-26 14:23:00,ETH/USD,4111.01,4117.81,4110,4116,145.4048255,598486.261758
1637936520,2021-11-26 14:22:00,ETH/USD,4107.98,4113.3,4105.48,4113.3,14.10584204,58021.560063132
1637936460,2021-11-26 14:21:00,ETH/USD,4108.44,4109.45,4106.79,4107.45,6.43886644,26447.321958978
1637936400,2021-11-26 14:20:00,ETH/USD,4109.16,4109.16,4101.53,4105.65,28.114,115426.2441
1637936340,2021-11-26 14:19:00,ETH/USD,4099.9,4113.37,4096.01,4113.37,76.74592099,315684.369022636
1637936280,2021-11-26 14:18:00,ETH/USD,4082.44,4098.47,4081.79,4098.47,42.535611,174330.92561517
1637936220,2021-11-26 14:17:00,ETH/USD,4085.62,4086.54,4079.11,4081.79,29.19016674,119148.130697665
1637936160,2021-11-26 14:16:00,ETH/USD,4088.31,4088.31,4083.96,4086.26,34.13674788,139491.627392129
1637936100,2021-11-26 14:15:00,ETH/USD,4093.06,4093.06,4087.85,4088.89,133.78216015,547020.536815734
1637936040,2021-11-26 14:14:00,ETH/USD,4099.17,4099.22,4089.02,4090.64,56.07512798,229383.161520107
1637935980,2021-11-26 14:13:00,ETH/USD,4099,4099.22,4094.82,4099.22,20.2233054,82899.777961788
1637935920,2021-11-26 14:12:00,ETH/USD,4098.46,4101.15,4093.96,4097.92,31.8913785,130688.31778272
1637935860,2021-11-26 14:11:00,ETH/USD,4097.08,4099.13,4095.43,4099.13,21.13320276,86627.7454295988
1637935800,2021-11-26 14:10:00,ETH/USD,4092.38,4096.15,4090.94,4096.15,5.549,22729.53635
1637935740,2021-11-26 14:09:00,ETH/USD,4089.67,4092.96,4087.06,4092.08,14.16648265,57970.380322412
1637935680,2021-11-26 14:08:00,ETH/USD,4073.22,4082.6,4073.22,4082.6,10.55763786,43102.612327236
1637935620,2021-11-26 14:07:00,ETH/USD,4068.87,4075.8,4066.71,4073.91,3.93675855,16038.0000244305
1637935560,2021-11-26 14:06:00,ETH/USD,4071.15,4075.26,4067.89,4067.89,8.36918668,34044.9308037052
1637935500,2021-11-26 14:05:00,ETH/USD,4075.1,4078.4,4069.06,4070.24,33.86777106,137849.956479254
1637935440,2021-11-26 14:04:00,ETH/USD,4082.33,4083.54,4074.73,4077.29,13.18888351,53774.9028464879
1637935380,2021-11-26 14:03:00,ETH/USD,4076.98,4082.93,4074.6,4082.93,17.927,73194.68611
1637935320,2021-11-26 14:02:00,ETH/USD,4085.33,4087.69,4078,4078,82.28212074,335546.48837772
1637935260,2021-11-26 14:01:00,ETH/USD,4082.91,4088.76,4078.66,4085.13,50.886,207875.92518
1637935200,2021-11-26 14:00:00,ETH/USD,4091.39,4091.4,4080.93,4084.21,48.19359486,196832.762063161
1637935140,2021-11-26 13:59:00,ETH/USD,4092.31,4095.94,4087.35,4087.35,16.08500691,65745.0529935885
1637935080,2021-11-26 13:58:00,ETH/USD,4089.97,4095.02,4089.71,4093.17,16.92771993,69288.0353858781
1637935020,2021-11-26 13:57:00,ETH/USD,4087.67,4092.37,4085.63,4085.63,65.16365224,266234.572501311
1637934960,2021-11-26 13:56:00,ETH/USD,4088.77,4092.37,4087.13,4087.13,43.57559845,178099.135692949
1637934900,2021-11-26 13:55:00,ETH/USD,4088,4090.19,4080.88,4090.19,58.67212694,239980.146888719
1637934840,2021-11-26 13:54:00,ETH/USD,4078.84,4088.79,4078.84,4085.7,26.13152258,106765.561805106
1637934780,2021-11-26 13:53:00,ETH/USD,4081.64,4085.52,4078,4083.62,117.73406691,480781.190315014
1637934720,2021-11-26 13:52:00,ETH/USD,4083.69,4087.11,4081.64,4081.64,4.20506358,17163.5557106712
1637934660,2021-11-26 13:51:00,ETH/USD,4077.02,4085,4075.59,4083.53,9.59767844,39192.4078400932
1637934600,2021-11-26 13:50:00,ETH/USD,4086.51,4086.51,4079.03,4080.62,15.91439882,64940.6141128684
1637934540,2021-11-26 13:49:00,ETH/USD,4080,4085.91,4080,4085.91,38.44921471,157100.030875736
1637934480,2021-11-26 13:48:00,ETH/USD,4081.28,4084.54,4081.1,4081.62,8.83477992,36060.2144170704
1637934420,2021-11-26 13:47:00,ETH/USD,4079.96,4080.4,4076.6,4080.4,27.31130646,111441.054879384
1637934360,2021-11-26 13:46:00,ETH/USD,4074.98,4079.96,4071.53,4079.95,13.71104889,55940.3939187555
1637934300,2021-11-26 13:45:00,ETH/USD,4066.76,4076.93,4066.69,4074.4,11.29564397,46022.971791368
1637934240,2021-11-26 13:44:00,ETH/USD,4074.33,4076.09,4068.48,4070.16,23.98070412,97605.3026810592
1637934180,2021-11-26 13:43:00,ETH/USD,4070.63,4072.38,4068,4072.38,35.87421649,146093.441749546
1637934120,2021-11-26 13:42:00,ETH/USD,4065.56,4069.05,4064.41,4069.05,140.28233827,570815.848537544
1637934060,2021-11-26 13:41:00,ETH/USD,4062.64,4065.46,4060.72,4065.1,11.70054152,47563.871332952
1637934000,2021-11-26 13:40:00,ETH/USD,4058.72,4064.29,4056.22,4062.33,4.434,18012.37122
1637933940,2021-11-26 13:39:00,ETH/USD,4056.05,4061.49,4055.7,4061.49,34.49770552,140112.085992425
1637933880,2021-11-26 13:38:00,ETH/USD,4047.77,4056.28,4047.48,4053.29,71.16598227,288456.364275168
1637933820,2021-11-26 13:37:00,ETH/USD,4052.06,4054.37,4048.28,4048.28,24.0445,97338.86846
1637933760,2021-11-26 13:36:00,ETH/USD,4059.67,4059.67,4048.33,4050.68,18.18295939,73653.3499418852
1637933700,2021-11-26 13:35:00,ETH/USD,4066.38,4066.38,4055.25,4057.45,46.38416554,188201.432470273
1637933640,2021-11-26 13:34:00,ETH/USD,4062.65,4066.2,4062.64,4066.2,9.33417779,37954.633729698
1637933580,2021-11-26 13:33:00,ETH/USD,4054.15,4061.46,4052.26,4061.46,13.34735116,54209.7328422936
1637933520,2021-11-26 13:32:00,ETH/USD,4047.47,4058.96,4047.47,4056.19,3.03970772,12329.6320567868
1637933460,2021-11-26 13:31:00,ETH/USD,4045.13,4045.68,4040.6,4042.96,3.67362154,14852.3049413584
1637933400,2021-11-26 13:30:00,ETH/USD,4046.99,4048.37,4042.58,4043.92,3.71859537,15037.7021886504
1637933340,2021-11-26 13:29:00,ETH/USD,4050.11,4052.06,4047.35,4050.63,8.84143551,35813.3839198713
1637933280,2021-11-26 13:28:00,ETH/USD,4042.58,4047.78,4041.58,4046.25,11.97819277,48466.7624956125
1637933220,2021-11-26 13:27:00,ETH/USD,4042.72,4043.67,4041.58,4041.58,14.4512663,58405.948852754
1637933160,2021-11-26 13:26:00,ETH/USD,4049.63,4049.63,4041.34,4042.3,1.1285,4561.73555
1637933100,2021-11-26 13:25:00,ETH/USD,4053.86,4054.02,4048,4050.53,14.33821232,58077.3591485296
1637933040,2021-11-26 13:24:00,ETH/USD,4051.93,4053.48,4048,4051.39,51.14922476,207225.457700416
1637932980,2021-11-26 13:23:00,ETH/USD,4048.91,4051.7,4047.27,4051,9.08574874,36806.36814574
1637932920,2021-11-26 13:22:00,ETH/USD,4041.79,4047.07,4041.79,4047.07,1.48872559,6024.9766735213
1637932860,2021-11-26 13:21:00,ETH/USD,4042.97,4044.23,4040.17,4040.17,12.52877478,50618.3800029126
1637932800,2021-11-26 13:20:00,ETH/USD,4040.55,4043.16,4037.59,4038.66,7.58585624,30636.6941622384
1637932740,2021-11-26 13:19:00,ETH/USD,4030.77,4040.55,4030.77,4040.55,2.82343405,11408.2264507275
1637932680,2021-11-26 13:18:00,ETH/USD,4020,4023.95,4020,4023.95,5.12456947,20621.0113188065
1637932620,2021-11-26 13:17:00,ETH/USD,4025.16,4025.16,4025.16,4025.16,9.93879143,40005.2257123788
1637932560,2021-11-26 13:16:00,ETH/USD,4025.9,4025.9,4021.3,4024.45,7.94701377,31982.3595666765
1637932500,2021-11-26 13:15:00,ETH/USD,4027.1,4030.4,4026.85,4028,1.06952161,4308.03304508
1637932440,2021-11-26 13:14:00,ETH/USD,4023.63,4028.03,4023.11,4028.03,14.89508578,59997.8523744134
1637932380,2021-11-26 13:13:00,ETH/USD,4028,4028.47,4024.12,4024.12,17.34120806,69783.1021784072
1637932320,2021-11-26 13:12:00,ETH/USD,4032.85,4032.85,4029.22,4029.22,3.30224961,13305.4901736042
1637932260,2021-11-26 13:11:00,ETH/USD,4031.7,4034,4028.68,4028.68,1.92106269,7739.3468379492
1637932200,2021-11-26 13:10:00,ETH/USD,4038.8,4038.84,4031.05,4031.05,26.13154395,105337.560239648
1637932140,2021-11-26 13:09:00,ETH/USD,4037.82,4039.52,4034,4036.41,13.80811946,55735.2314695386
1637932080,2021-11-26 13:08:00,ETH/USD,4034.39,4036.89,4033.5,4034.62,5.63281215,22726.256556633
